,precision,recall,f1-score,support
Ribosome 60S,0.8888888888888888,1.0,0.9411764705882353,8.0
ER,1.0,1.0,1.0,6.0
Nucleus,1.0,1.0,1.0,6.0
PM,1.0,1.0,1.0,5.0
Ribosome 40S,1.0,1.0,1.0,4.0
mitochondrion,1.0,1.0,1.0,4.0
Proteasome,1.0,1.0,1.0,3.0
Lysosome,1.0,0.5,0.6666666666666666,2.0
Cytoskeleton,1.0,1.0,1.0,2.0
Golgi,1.0,1.0,1.0,2.0
accuracy,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762
macro avg,0.9888888888888889,0.95,0.9607843137254901,42.0
weighted avg,0.978835978835979,0.9761904761904762,0.9729225023342669,42.0
