FBgn,label,split
FBgn0001104,unknown,unlabelled
FBgn0000044,unknown,unlabelled
FBgn0035720,unknown,unlabelled
FBgn0003731,unknown,unlabelled
FBgn0029506,unknown,unlabelled
FBgn0010638,ER,train
FBgn0028689,Proteasome,train
FBgn0031871,unknown,unlabelled
FBgn0040227,unknown,unlabelled
FBgn0032799,ER,train
FBgn0037443,unknown,unlabelled
FBgn0028475,unknown,unlabelled
FBgn0003732,Nucleus,train
FBgn0028691,Proteasome,test
FBgn0002526,unknown,unlabelled
FBgn0013773,unknown,unlabelled
FBgn0013772,unknown,unlabelled
FBgn0033984,unknown,unlabelled
FBgn0003261,unknown,unlabelled
FBgn0017397,Nucleus,train
FBgn0032679,unknown,unlabelled
FBgn0028684,unknown,unlabelled
FBgn0025608,unknown,unlabelled
FBgn0032704,unknown,unlabelled
FBgn0032689,unknown,unlabelled
FBgn0039296,unknown,unlabelled
FBgn0039304,unknown,unlabelled
FBgn0032746,unknown,unlabelled
FBgn0027090,unknown,unlabelled
FBgn0034583,unknown,unlabelled
FBgn0001105,unknown,unlabelled
FBgn0037051,unknown,unlabelled
FBgn0035630,unknown,unlabelled
FBgn0011341,unknown,unlabelled
FBgn0016122,unknown,unlabelled
FBgn0032721,unknown,unlabelled
FBgn0036286,unknown,unlabelled
FBgn0036299,unknown,unlabelled
FBgn0010894,unknown,unlabelled
FBgn0004888,unknown,unlabelled
FBgn0015745,Ribosome 60S,test
FBgn0035588,unknown,unlabelled
FBgn0041775,unknown,unlabelled
FBgn0002031,unknown,unlabelled
FBgn0011661,unknown,unlabelled
FBgn0034420,unknown,unlabelled
FBgn0029979,unknown,unlabelled
FBgn0023213,unknown,unlabelled
FBgn0037240,unknown,unlabelled
FBgn0035471,unknown,unlabelled
FBgn0015324,unknown,unlabelled
FBgn0031408,unknown,unlabelled
FBgn0037470,unknown,unlabelled
FBgn0029969,unknown,unlabelled
FBgn0016697,unknown,unlabelled
FBgn0010620,unknown,unlabelled
FBgn0004922,Ribosome 40S,train
FBgn0036316,unknown,unlabelled
FBgn0014007,unknown,unlabelled
FBgn0037374,unknown,unlabelled
FBgn0028690,Proteasome,train
FBgn0013954,unknown,unlabelled
FBgn0010774,Nucleus,train
FBgn0031830,unknown,unlabelled
FBgn0037467,unknown,unlabelled
FBgn0040813,unknown,unlabelled
FBgn0039928,unknown,unlabelled
FBgn0016724,unknown,unlabelled
FBgn0025741,unknown,unlabelled
FBgn0031842,unknown,unlabelled
FBgn0004047,unknown,unlabelled
FBgn0037199,unknown,unlabelled
FBgn0010548,unknown,unlabelled
FBgn0010217,mitochondrion,train
FBgn0034500,unknown,unlabelled
FBgn0034488,unknown,unlabelled
FBgn0036334,unknown,unlabelled
FBgn0014027,Ribosome 40S,test
FBgn0011284,unknown,unlabelled
FBgn0010452,unknown,unlabelled
FBgn0031217,unknown,unlabelled
FBgn0029713,unknown,unlabelled
FBgn0027086,unknown,unlabelled
FBgn0027527,unknown,unlabelled
FBgn0039857,Ribosome 60S,train
FBgn0037414,unknown,unlabelled
FBgn0003444,unknown,unlabelled
FBgn0015623,ER,train
FBgn0036847,unknown,unlabelled
FBgn0000117,unknown,unlabelled
FBgn0037313,unknown,unlabelled
FBgn0040340,unknown,unlabelled
FBgn0033028,unknown,unlabelled
FBgn0039252,unknown,unlabelled
FBgn0039259,unknown,unlabelled
FBgn0045866,unknown,unlabelled
FBgn0039265,unknown,unlabelled
FBgn0003462,unknown,unlabelled
FBgn0031260,unknown,unlabelled
FBgn0039293,unknown,unlabelled
FBgn0039302,unknown,unlabelled
FBgn0039303,unknown,unlabelled
FBgn0039635,unknown,unlabelled
FBgn0028692,Proteasome,test
FBgn0039644,unknown,unlabelled
FBgn0029176,unknown,unlabelled
FBgn0010434,unknown,unlabelled
FBgn0015622,ER,train
FBgn0037643,unknown,unlabelled
FBgn0037652,unknown,unlabelled
FBgn0036064,unknown,unlabelled
FBgn0037312,unknown,unlabelled
FBgn0004167,unknown,unlabelled
FBgn0035257,unknown,unlabelled
FBgn0035438,unknown,unlabelled
FBgn0011573,unknown,unlabelled
FBgn0001091,unknown,unlabelled
FBgn0030099,unknown,unlabelled
FBgn0039851,unknown,unlabelled
FBgn0000416,Lysosome,test
FBgn0015245,unknown,unlabelled
FBgn0030057,Lysosome,train
FBgn0030130,unknown,unlabelled
FBgn0033465,unknown,unlabelled
FBgn0029959,unknown,unlabelled
FBgn0016041,mitochondrion,train
FBgn0024294,unknown,unlabelled
FBgn0031020,unknown,unlabelled
FBgn0003660,unknown,unlabelled
FBgn0027291,unknown,unlabelled
FBgn0035811,unknown,unlabelled
FBgn0032393,unknown,unlabelled
FBgn0028425,unknown,unlabelled
FBgn0010238,unknown,unlabelled
FBgn0001233,unknown,unlabelled
FBgn0037434,unknown,unlabelled
FBgn0037357,unknown,unlabelled
FBgn0010341,unknown,unlabelled
FBgn0010380,unknown,unlabelled
FBgn0024939,Ribosome 60S,train
FBgn0000547,unknown,unlabelled
FBgn0040308,unknown,unlabelled
FBgn0035422,Ribosome 60S,train
FBgn0004237,Nucleus,test
FBgn0024365,unknown,unlabelled
FBgn0032987,Ribosome 60S,train
FBgn0027842,unknown,unlabelled
FBgn0026403,unknown,unlabelled
FBgn0035401,unknown,unlabelled
FBgn0033477,unknown,unlabelled
FBgn0033480,mitochondrion,train
FBgn0037755,unknown,unlabelled
FBgn0026566,unknown,unlabelled
FBgn0035519,unknown,unlabelled
FBgn0032050,unknown,unlabelled
FBgn0035523,unknown,unlabelled
FBgn0032168,unknown,unlabelled
FBgn0033881,unknown,unlabelled
FBgn0026879,unknown,unlabelled
FBgn0027932,unknown,unlabelled
FBgn0010265,Ribosome 40S,train
FBgn0032035,unknown,unlabelled
FBgn0028687,Proteasome,train
FBgn0015907,Nucleus,train
FBgn0040660,unknown,unlabelled
FBgn0039219,unknown,unlabelled
FBgn0033482,unknown,unlabelled
FBgn0004649,unknown,unlabelled
FBgn0039098,Lysosome,train
FBgn0038964,unknown,unlabelled
FBgn0035165,unknown,unlabelled
FBgn0035173,unknown,unlabelled
FBgn0015031,unknown,unlabelled
FBgn0011710,unknown,unlabelled
FBgn0020255,unknown,unlabelled
FBgn0036855,unknown,unlabelled
FBgn0036889,unknown,unlabelled
FBgn0035965,unknown,unlabelled
FBgn0031035,unknown,unlabelled
FBgn0038660,unknown,unlabelled
FBgn0038611,unknown,unlabelled
FBgn0030038,unknown,unlabelled
FBgn0027588,unknown,unlabelled
FBgn0034245,unknown,unlabelled
FBgn0062442,unknown,unlabelled
FBgn0025641,unknown,unlabelled
FBgn0037245,unknown,unlabelled
FBgn0037252,unknown,unlabelled
FBgn0031106,Golgi,train
FBgn0037340,unknown,unlabelled
FBgn0015221,unknown,unlabelled
FBgn0037930,unknown,unlabelled
FBgn0019624,unknown,unlabelled
FBgn0033236,unknown,unlabelled
FBgn0003517,unknown,unlabelled
FBgn0026090,unknown,unlabelled
FBgn0028969,unknown,unlabelled
FBgn0002645,unknown,unlabelled
FBgn0038432,unknown,unlabelled
FBgn0032378,unknown,unlabelled
FBgn0035440,Lysosome,train
FBgn0035469,unknown,unlabelled
FBgn0035499,unknown,unlabelled
FBgn0015287,unknown,unlabelled
FBgn0010551,unknown,unlabelled
FBgn0034388,unknown,unlabelled
FBgn0034401,unknown,unlabelled
FBgn0034405,unknown,unlabelled
FBgn0034406,unknown,unlabelled
FBgn0026664,unknown,unlabelled
FBgn0027580,unknown,unlabelled
FBgn0031149,unknown,unlabelled
FBgn0023175,Proteasome,test
